용어,챗봇
지가고,"사회 · 경제적으로 요구되는 합리적인 지가수준보다 현실의 지가수준이 훨씬 높게 형성되어 있는 지가의 상태를 말한다. 고도의 경제성장을 할 때 겪는 현상의 하나이다. 수요에 비해 공급이 부족하거나 지가상승의 기대심리에 기인하여 나타난다.우리나라는 지금은 지가가 비교적 안정이 되었지만, 그동안 이자율이나 물가상승률을 훨씬 상회하는 지가상승률을 기록해왔기 때문에 개인과 기업의 부 증대에 기여하였지만 반대로 공간분배를 왜곡시키기도 하였으며, 생산활동을 위축시키고 주거생활 등 각 부분에 심각한 부담요인으로 작용하였다.지가고로 인한 폐해를 살펴보면 투기심리 만연, 사회 불평등 심화, 공공용지 확보의 어려움, 기업경영의 악영향, 주택문제 해결에 악영향, 토지이용에 악영향, 금융기관 부실초래 등이 있다."
제2차 납세의무자,확실하게 조세를 징수하기 위하여 원래 납세의무자의 재산을 체납처분(滯納處分)해도 조세가 부족할 때 원래 납세자를 대신하여 납세의무를 지는 자를 말한다.관련법은 국세징수법이다.
단독주택용지,"단독주택을 짓는데 이용하는 부지로 연립, 다세대, 아파트 또는 기숙사부지가 아닌 부지를 말한다. 소규모점포가 딸린 주택(점포주택) 용지도 포함된다. 토지이용상황 구분하면 주거용지가 해당된다. 근거는 표준지공시지가 조사 · 평가 업무요령이다."
기간시설,"도로, 상하수도, 전기시설, 가스시설, 통신시설 및 지역난방시설 등과 같이 주택단지 안의 바탕이 되는 시설을 말한다. 단지안의 간선시설을 단지 밖의 같은 기간시설에 연결시키는 시설을 간선시설이라 한다. 근거법은 주택법이다. 간선시설 참조."
확정일자,"증서에 작성된 일자에 완전한 증거력(證據力)을 부여하는 법률상의 일자를 말한다. 주택임대차 보호법에 따라 임대차계약증서상의 확정일자를 갖춘 임차인은 민사집행법에 따른 경매 또는 국세징수법에 따라 공매할 때에 임차주택의 환가대금에서 후순위권리자나 그 밖에 채권자보다 우선하여 보증금을 변제받을 권리가 있다.주택임대차계약서상의 확정일자 부여에 관한 규칙에 의하면 주택 임대차계약증서 소지인은 주택 소재지의 읍 · 면 · 동 사무소에서 600원의 수수료와 4장 이상의 경우에는 100원 씩 추가되는 수수료를 제공하면 관할 행정청이① 임대인 · 임차인의 인적 사항, 임대차 목적물, 임대차 기간, 보증금 등이 적혀 있는 완성된 문서인지② 계약당사자의 서명 또는 기명날인이 있는지③ 글자가 연결되어야 할 자행(字行)에 빈 공간이 있는 경우에는 계약당사자가 빈 공간에 직선 또는 사선을 긋고 그의 도장을 찍어 그 부분에 다른 글자가 없음을 표시하였는지④ 정정한 부분이 있는 경우에는 계약당사자가 그 부분에 서명하거나 날인하였는지⑤ 확정일자가 부여되어 있지 아니한지를 확인 한 후 확정일자를 부여 해준다.확정일자인제도는 1989년 주택임대차보호법을 개정하면서 도입한 제도로서 임차인을 보호하기 위한 제도로 법률관계의 내용을 묻지 않고, 문서작성일자만을 확인하는 것이기 때문에 계약서만 가지고 가면 되고, 전세금 규모에 제한이 없다.관련법은 주택임대차보호법과 주택임대차계약증서상의 확정일자 부여 및 임대차 정보제공에 관한 규칙이다."
양입지,"소유자가 동일하고 지반이 연속된 토지로, 지목이 다른 경우에는 주된 지목의 토지에 편입되어 1필지로 획정하는 종된 토지를 말한다."
쌍무계약 · 편무계약,"당사자 쌍방이 서로 대가적 의미의 채무를 부담하는 계약을 쌍무계약이라 하고, 당사자 일방만이 채무를 부담하든가 또는 양당사자가 채무를 부담하여도 채무 상호간에 대가적 의미가 없는 계약을 편무계약이라고 한다. 현행 부동산중개업법에서 대표적인 쌍무계약은 전속중개계약이라 볼 수 있다."
건설기술자,"토목공사, 건축공사, 산업설비공사, 조경공사, 환경시설공사, 그 밖에 명칭에 관계없이 시설물을 설치 · 유지 · 보수하는공사(시설물을 설치하기 위한 부지조성공사를 포함한다) 및 기계설비나 그 밖의 구조물의 설치 및 해체공사 등 건설공사 또는 건설기술용역에 관한 자격, 학력 또는 경력을 가진 사람을 말한다.건설기술의 경쟁력을 강화하고 관련 산업의 발전을 도모하기 위하여 건설기술 관리체계를 규제중심에서 관련 산업의 진흥과 지원 중심으로 전환할 목적으로 건설기술관리법을 건설기술진흥법으로 전면 개정 시(2013. 5. 22.), 건설기술인력을 체계적으로 관리하고 건설기술의 통합적 발전 기반을 마련하기 위하여 설계 및 시공 등을 수행하는 건설기술자, 감리를 수행하는 감리원, 품질검사를 수행하는 품질관리자 등으로 구분되어 있던 건설기술인력을 건설기술자로 통합했다.건설기술자는 국가기술자격법이 정하는 바에 따라 기술사, 기능장, 기사, 산업기사 및 기능사 등의 국가자격을 취득한 자가 된다. 2018. 8. 건설기술자가 존중 · 우대받는 사회풍토를 조성하고 위상을 제고하며 긍지와 자부심을 북돋우려고 ‘건설기술자’를 ‘건설기술인’으로 변경하였다.건설기술인의 인정범위는 국가기술자격법, 건축사법 등에 따른 건설 관련 국가자격을 취득한 사람으로서 국토교통부장관이 고시하는 사람으로서 기술사, 기능장, 기사, 산업기사 및 기능사 등의 국가자격을 취득한 사람이 된다. 관련법은 국가기술자격법, 건설산업기본법이다."
동시이행의 항변권,"공평의 관념과 신의칙에 의해 각 당사자가 부담하는 채무가 서로 대가적 의미와 관련되어 있을 때, 그 이행에서 견련관계를 인정하여 당사자 한쪽 상대방이 채무를 이행하거나 이행의 제공을 하지 않은 채 당사자 어느 한쪽의 채무의 이행을 청구한 때에는 자기의 채무를 거절할 수 있는 권리이다. 즉, 쌍무계약의 상대방이 그 채무이행을 제공할 때까지 자기의 채무이행을 거절할 수 있는 권리를 말한다.예를 들어 주택을 매수하고 대금을 지급하기로 계약한 경우, 매수인과 매도인 사이에 특별한 약정이 없다면 매도인의 주택양도와 매수인의 대금 지급은 동시에 해야 한다. 만약 매도인이 이전등기에 필요한 서류제공 등에 협조하지 않으면, 매수인은 그 서류를 제공받을 때까지 잔금지급을 거절할 수 있다. 근거법은 민법이다."
농지취득자격증명,"농지매수인의 농민 여부, 자경(自耕) 여부 및 농지소유상한 이내 여부 등 농지소유 자격과 소유상한을 확인하고 심사하여 적격 농민에게만 농지의 매입을 허용함으로써 비 농민의 투기적 농지매입을 규제하고 경자유전(耕者有田)의 실현을 도모하기 위해 만든 제도이다.농지취득자격증명을 발급받으려는 자는 취득 대상 농지의 면적, 취득 대상 농지에서 농업경영을 하는 데에 필요한 노동력 및 농업 기계 · 장비 · 시설의 확보 방안, 소유 농지의 이용 실태(농지 소유자에게만 해당한다) 등이 포함된 농업경영계획서를 작성하여 농지 소재지를 관할하는 시 · 구 · 읍 · 면장에게 발급신청을 하여야 한다.농지취득자격증명을 발급받아 농지를 취득하는 자가 그 소유권에 관한 등기를 신청할 때에는 농지취득 자격증명을 첨부하여야 한다. 근거법은 농지법이다."
직주근접,"직장과 주거가 가까운 것을 말한다. 이것은 물리적 요인과 시간적 요인이 함께 작용한다. 물리적으로 가까워도 통근시간이 길거나, 물리적으로 멀어도 통근시간이 짧을 수 있는데, 도로, 전철이 발달하면 직주근접의 효과가 있다. 직주근접은 역세권 개발이나 토지이용의 집약도로 개선할 수 있다. 직주근접은 직장인의 통근을 편리하게 하고 여가시간을 활용하여 삶의 질을 개선시키므로 도시계획 및 관리에서 중요한 과제다."
주거급여법,"국민기초생활 보장법에 따른 기초생활보장제도가 맞춤형 급여체계로 개편됨에 따라 생활이 어려운 사람에게 주거급여를 실시하여 국민의 주거안정과 주거수준 향상에 이바지함을 목적으로 2014.1.14. 제정된 법률을 말한다. 주요내용은 다음과 같다.① 국가와 지방자치단체는 주거급여에 관한 정책을 수립 · 시행할 때에는 수급자가 쾌적하고 안전한 주거생활을 할 수 있도록 하고, 주거급여에 필요한 재원을 조성하기 위하여 노력하여 야 한다.② 주거급여에 관하여 이 법에서 정하지 아니한 사항에 대하여는 국민기초생활 보장법을 따르도록 한다.③ 주거급여의 수급권자는 부양의무자가 없거나, 부양의무자가 있어도 부양능력이 없거나 부양을 받을 수 없는 사람으로서 소득인정액이 국토교통부장관이 정하는 기준 이하인 사람으로 한다.④ 임차료는 타인의 주택등에 거주하는 사람에게 지급하고, 그 지급기준은 가구규모, 소득인정액, 거주형태, 임차료 부담수준 및 지역별 기준임대료 등을 고려하여 정하도록 하며, 수급자 명의의 지정된 계좌로 지급하는 것을 원칙으로 한다.⑤ 수선유지비는 주택 등을 소유하고 그 주택 등에 거주하는 사람에게 지급하고, 그 지급기준은 가구규모, 소득인정액, 수선유지비 소요액, 주택의 노후도 등을 고려하여 정하도록 한다.⑥ 시장 · 군수 · 구청장 등은 국민기초생활 보장법에 따른 신청조사 및 확인조사를 하는 경우 임대차계약 및 주택 등의 물리적 상태에 관한 사항을 추가로 조사하도록 하되, 이를 주택임대, 주택개량 등 주거복지 업무의 전문성과 경험을 갖춘 기관에 의뢰할 수 있도록 한다.⑦ 수급자 또는 수급권자가 자료제출 요구 또는 조사를 2회 이상 거부 · 방해 또는 기피하는 경우 급여 신청을 각하하거나 급여를 중지하고, 수급자가 급여를 다른 용도로 사용하여 국토교통부령으로 정하는 기간 이상으로 차임(借賃)을 연체한 경우 급여를 중지할 수 있도록 한다.⑧ 국토교통부장관은 금융기관등에 대하여 금융정보 등의 제공을 요청할 수 있고, 그 권한을 보건복지부장관에 위탁할 수 있도록 한다.⑨ 국토교통부장관은 주거급여에 필요한 각종 자료 또는 정보의 효율적 처리와 기록 · 관리업무의 전산화를 위하여 정보시스템을 구축 · 운영할 수 있도록 한다.목적, 수급권자의 범위, 임차료 및 수선유지비의 지급, 주거급여의 실시, 주거급여의 부담, 벌칙 등 전문 25조와 부칙 등으로 구성되어 있다."
영농보상,"공익사업지구에 편입되는 농지를 경작중인 농지법상 농민에게 농지면적에 통계작성기관이 매년 조사 · 발표하는 '농가경제조사통계'에 근거하여 산출한 「도별 연간 농가평균 단위경작면적당 농작물 총수입」의 직전 3년간 평균의 2년분을 곱하여 산정한 금액을 영농손실액으로 산정 · 보상한다(재배작물의 종류와 무관함). 다만, 국토교통부장관이 관보에 고시하는 실제소득인정기준에서 정하는 바에 따라 실제소득을 입증하는 경우 실제 소득을 기준으로 보상할 수 있다.보상금의 지급대상자는 당해 농지(농지법상)의 실경작자(농민)이며,① 사업인정고시일등 이후부터 농지로 이용되고 있는 토지② 토지이용계획 · 주위환경 등으로 보아 일시적으로 농지로 이용되고 있는 토지③ 타인소유의 토지를 불법으로 점유하여 경작하고 있는 토지④ 농민(농지법상 농업인)이 아닌 자가 경작하는 토지⑤ 토지보상 이후에 사업시행자가 2년 이상 계속하여 경작을 허용한 토지는 영농보상 대상 농지가 아니다."
위탁관리,"외주관리(外注管理)라고도 하며, 소유자 자신이 관리하지 않고 전문업자에게 맡겨 관리하는 방식이다. 공동주택이나 빌딩관리에 많이 이용하는 방식으로 관리방식 중 가장 진보된 관리방식이다.부동산관리가 전문화하면서 이 방식의 채용이 점차 증대하는 경향이다. 장점은 전문기업의 전문 관리와 서비스를 받을 수 있으며, 자치관리보다 비교적 경비가 싸고 안정적이다. 단점은 신뢰도가 낮고 기술력이 낮은 업자를 만나면 위탁관리의 이점을 향유하기 어렵다. 관리업체가 영리만 추구하면 부실관리를 초래할 염려 등이 있다."
기초공제,"세액을 계산할 때 특별한 절차없이 과세표준액에서 공제하는 금액을 말하는데 일정액으로 정해져 있다. 소득세법에 기초공제를 하는 것은 최저생활비를 보장하려는데 있다. 즉, 납세의무자 본인의 생활비 등은 필요경비로 산입하는 것을 인정하지 않기 때문에, 최저생활비를 과세 대상에서 제외하여 납세 의무자의 생계를 보장하려는 것이다. 세법상 기초공제는 상속세과세가액에서 2억원을 공제해 주는 상속세 기초공제가 있다.기초공제와 비슷한 제도로 면세점이 있다. 기초공제는 일정금액을 과세 대상에서 빼주는 제도이며, 면세점제도는 과세표준액이 면세점 이하이면 면세해 주는 제도다. 따라서 면세점제도는 과세표준액이 면세점을 초과했는가 그렇지 않았는가에 따라 과세여부가 결정되고, 면세점 상하의 납세자 사이에 현저하게 세 부담에 차이가 있다. 근거법은 상속세 및 증여세법이다."
환지계획,"구획정리방식으로 도시개발사업을 할 때 토지를 구획하여 정리하고 소유자에게 되돌려 줄 토지를 정하는 계획을 말한다.환지계획의 내용은① 환지설계② 필지별로 된 환지 명세③ 필지별과 권리별로 된 청산 대상 토지명세④ 체비지 또는 보류지(보유지)의 명세⑤ 기타 국토교통부령으로 정하는 사항을 포함해야 한다.환지계획은 종전의 토지와 환지의 위치 · 지목 · 면적 · 토질 · 수리(水利) · 이용 상황 · 환경, 그 밖의 사항을 종합적으로 고려하여 합리적으로 정하여야 한다. 환지 계획을 작성하면 지방자치 단체의 장에게 인가를 받아야 하며, 토지의 소유자와 해당 토지에 임차권, 지상권, 그밖에 사용하거나 수익할 권리가 있는 자에게 공람시켜야 한다."
압류,국가권력으로 특정한 재산이나 권리를 사인이 처분하지 못하게 하는 행위를 말한다. 국세징수법상의 압류는 체납처분의 제1단계로 체납자의 특정 재산의 처분을 제한하는 강제처분을 말한다.납세자가 독촉을 받은 경우 그 독촉 받은 조세를 지정된 날까지 완납하지 않을 때 압류한다. 행정법상의 압류는 행정상 의무를 강제하는 것으로 법관의 영장이 없이도 압류할 수 있다. 민사소송법사의 압류는 집행기관에 의해 채무자의 특정재산에 사실상 또는 법률상 처분이 제한되는 강제집행으로 집행의 목적물에 따라 그 방법을 달리하는데 유체동산의 압류는 그 물건을 점유하거나 봉인 기타의 방법으로 한다.형사소송법 상의 압류는 물건의 점유를 취득하는 강제처분인 압수의 일종으로 점유취득과정 자체에 강제력이 가해진다. 압류의 일반적 효력은 채무자의 재산에 압류함으로써 공통적으로 발생하는 법적 작용을 말한다. 즉 압류를 당하면 처분금지 및 시효중단과 우선징수의 효력이 있고 또 압류재산으로부터 발생하는 천연 또는 법정과실에도 압류의 효력이 미친다.세 들어 살고 있는 집이 압류되었을 경우라도 주택을 인도받고 주민등록을 마친 때에는 대항력이 생기기 때문에 집을 비워주지 않아도 된다.
부동산개발사업,"부동산개발업의 관리 및 육성에 관한 법률에 따라 하는 사업이다. 즉 이 사업은 공급목적으로 형질변경이나 건축물, 건물 등을 건설하여 판매나 임대하는 사업이다. 사업, 목적, 개발단계별로 규율되고 있는 개발행위에 대한 규정 중에서 개발에 필요한 공통 요소를 ‘부동산개발’로 정의하여 부동산개발업의 영역을 명확히 한 것이 이 사업이다.따라서 개발행위란 건축물의 건축, 공작물의 설치, 토지의 형질변경, 토석의 채취, 토지분할, 물건을 쌓아 놓은 행위로 규정했다. 그리고 부동산 개발은 시공하는 행위를 제외하여 부동산개발사업을 건설업과 구분하였다."
전세권 설정등기,"전세권자가 전세금을 지급하고 다른 사람의 부동산을 점유해 그 부동산의 용도에 따라 사용 · 수익하기 위해 하는 등기를 말한다. 전세권 설정등기의 등기권자는 전세권자이며 등기 의무자는 전세권 소유자이다. 전세권 설정등기는 등기권리자와 등기의무자 또는 대리인이 등기소에 출석해 신청해야 한다.다만, 대리인이 변호사나 법무사인 경우에는 대법원규칙으로 정하는 사무원을 등기소에 출석하게 해서 등기를 신청할 수 있다.근거는 부동산등기법이다."
소재지 · 지번,매매물건의 장소표시 방법으로 소재지와 지번이 있다. 소재지는 이른바 주소이나 지번은 그 토지의 등기상 번호로 전국 각지 지번이 그 대로 주소가 되는 경우도 많다.
부동산종합공부시스템,"2018년 국토교통부와 과학기술정보통신부가 블록체인 기술을 활용하여 종이증명서가 아닌 데이터 형식의 부동산정보를 관련기관으로 제공하여 실시간으로 부동산정보를 공유할 수 있도록 한 시스템이다. 블록체인기술이란 블록체인에 참여하는 모든 사용자들이 거래내역 등의 데이터를 서로 분산, 저장하여 악의적인 세력에 의해 데이터가 조작되는 것을 막는 기술이다.추진배경은 종이증명서는 위‧변조에 쉽게 사용되어 부동산거래 질서에 혼란을 가중시켜, 토지대장, 부동산등기사항증명서, 건축물대장 등 18종의 부동산정보인 국가의 공적장부에 대한 공신력을 저하를 방지하기 위한 안정성을 도모하고, 부동산관련 정보들은 국민생활에 가장 중요한 정보로서 법원, 국세청 등 부동산 관련 증명서를 민원인들한테 요구하고 있는 실정으로 2017년 부동산관련정보 발급‧열람 건수는 약 190백만건에 1,292억의 비용이 발생하여 비용을 절약하기 위한 경제성을 도모하며, 부동산관련정보는 공공기관과는 연계가 활발히 진행되고 있으나 민간기관과는 보안상의 문제로 정보연계가 전무한 상태이므로 활용성을 위해서 추진하게 되었다.주요내용은 부동산종합공부시스템과 금융기관, 법무사, 공인중개사 등을 연계하는 블록체인 기반 부동산 스마트거래 플랫폼을 구축하고, 부동산거래 시 종이증명서 없이 쉽고 빠르게 수요자에게 정보를 제공할 수 있는 부동산 거래(대출) 플랫폼 시험 모델을 구현할 수 있도록 토지대장 정보를 금융결제원과 연계하여 제주특별자치도 지역 11개 은행(신한, 산업, 국민, KRB, 하나, 씨티, 수협 , 제주 등)에 제공하는 시범사업을 실시한다.향후에는 법원, 공인중개사협회 등 관련기관의 참여를 협의하여, 금융대출뿐만 아니라 계약에서 등기까지 한 번에 할 수 있는 부동산 거래 통합 서비스(one-stop 서비스)로 확대 개편할 계획이다."
멸실신고,건축물의 소유자나 관리자가 건축물이 재해로 멸실된 경우 멸실 후 30일 이내에 건축물 멸실신고서를 작성하여 특별자치시장 · 특별자치도지사 또는 시장 · 군수 · 구청장에게 제출(전자문서로 제출하는 것을 포함)하는 방식으로 신고하는 것을 말한다. 근거법규는 건축법과 동법 시행령이다.
관광호텔,"관광객의 숙박에 적합한 시설을 갖추어 관광객에게 이용하게 하고 숙박에 딸린 음식 · 운동 · 오락 · 휴양 · 공연 또는 연수에 적합한 시설 등을 함께 갖추어 관광객에게 이용하게 하는 시설을 말한다. 관광호텔이 되기 위해선 다음의 시설기준을 충족해야 한다.① 욕실이나 샤워시설을 갖춘 객실을 30실 이상 갖추고 있을 것,② 외국인에게 서비스를 제공할 수 있는 체제를 갖추고 있을 것,③ 대지 및 건물의 소유권 또는 사용권을 확보하고 있을 것. 근거는 관광진흥법과 동법 시행령이다."
부동산버블,"부동산버블(Bubble)이란 부동산투기가 원인이 되어 부동산가격이 경제상황이 반영된 경제지표를 이탈하여 일정기간 지속적으로 상승하는 현상을 말한다. 이것은 합리적인 것이 있고 비합리적인 것이 있다. 전자는 시장메커니즘에 따라 자산의 가격수준 범위 안에서 가격이 변동하는 것이고, 후자는 시장메커니즘의 근거 없이 가격수준이 이탈하는 현상이다. 후자의 예는 2007년 4월 시작된 미국의 서브프라임 모기지 사태이며, 일본의 1980후반의 지가폭등이다.부동산시장에서 버블의 특징은 매수인이 매매차익을 목적으로 거래에 참가하고 시장을 낙관하는 것이며, 그들이 믿고 행동한 결과는 실제로 시장을 과열시켜 부동산 가격이 경제 상황으로부터 괴리되는 점이다. 이러한 현상은 선진국이나 후진국을 막론하고 경제호황기에 발생하는 현상이며, 버블을 검증하는 데에도 유효하다."
미관지구,"미관을 유지하기 위하여 필요한 지구로 국토교통부장관, 시 · 도지사 또는 대도시 시장이 도시 · 군관리계획으로 결정하는 용도지구이다. 지구 내 환경의 특수성을 충분히 고려함과 동시에 건축시설 등의 의장이나 형태를 규제함으로써 도시의 미화나 경관의 보존을 도모하는데 취지가 있다.미관지구 안에서 건축물의 높이 및 규모, 부속건축물의 규모, 건축물, 담장 및 대문의 형태 · 색채, 건축물의 바깥쪽으로 돌출되는 건축설비와 그 밖에 유사한 것의 행태 · 색채 또는 그 설치의 제한 및 금지 등은 위치 · 환경과 그 밖의 특성에 따른 미관의 유지에 필요한 범위 안에서 도시 · 군계획조례로 정한다.국토교통부장관, 시 · 도지사 또는 대도시 시장은 도시 · 군관리계획 결정으로 중심지미관지구, 역사문화미관지구, 일반미관지구로 세분하여 지정할 수 있다.용도지구 제도가 도입된 이후 유사한 목적의 용도지구가 세분화되거나 경직적으로 운영되면서 여건변화를 반영한 통 · 폐합 등의 필요성이 증가하고 있고, 일부 용도지구는 상호간에 중첩 지정되어 토지이용에 불편을 초래하는 측면도 있어 용도지구 제도를 보다 합리적으로 정비하는 것이 필요하여 유사한 목적의 용도지구를 통 · 폐합하고 정비하여 토지이용 체계를 간소화 · 합리화하기위하여 2017. 4.18. 미관지구와 경관지구를 통합하여 경관지구로 변경하였다.관련법은 국토의 계획 및 이용에 관한 법률이다."
상업용부동산,"부동산의 사용목적 중에서 상가, 호텔, 휴게소, 극장, 주유소 등의 상업용 목적으로 이용되고 있는 부동산을 말한다. 상업용 부동산의 시장권은 소비자의 구매상품에 따라 인근지역이나 더 넓은 상권으로 확대된다. 또한 상업용 부동산은 수익성을 추구한다."
권리금의 회수,"대개 상가 건물주는 권리금을 인정하려 하지 않고, 임차인은 인정받으려 한다. 그래서 권리금은 임차인 간에만 상호 인정하고 거래한다. 그동안 권리금은 이와 같이 관행으로 규율되었으며, 보증금과 달리 임대인이 이를 반환하지 않는다. 임대인이 임차인간에 수수된 권리금을 알았다 하더라도 임대인이 권리금을 반환할 책임이 없는 경우가 대부분이므로 임대인이 점포를 제3자에게 임대하거나 매매하면, 임차인은 권리금을 회수하지 못하고 점포를 내주어야 한다.권리금이 임차인으로부터 임대인에게 지급된 경우라도, 그 유형 · 무형의 재산적 가치의 양수 또는 약정기간 동안 유효하게 이용한 이상 임대인은 그 권리금의 반환의무가 없다.그러나 2015. 5. 13. 상가건물 임대차보호법을 개정하여 임차인에게 권리금 회수기회를 보장하기 위하여 임대인은 임대차기간이 끝나기 6개월 전부터 임대차 종료 시까지 다음에 해당하는 행위를 함으로써 권리금 계약에 따라 임차인이 주선한 신규임차인이 되려는 자로부터 권리금을 지급받는 것을 방해하지 못하도록 임대인의 방해금지의무를 부여하였다.① 임차인이 주선한 신규임차인이 되려는 자에게 권리금을 요구하거나 임차인이 주선한 신규임차인이 되려는 자로부터 권리금을 수수하는 행위,② 임차인이 주선한 신규임차인이 되려는 자로 하여금 임차인에게 권리금을 지급하지 못하게 하는 행위,③ 임차인이 주선한 신규임차인이 되려는 자에게 상가건물에 관한 조세, 공과금, 주변 상가건물의 차임 및 보증금, 그 밖의 부담에 따른 금액에 비추어 현저히 고액의 차임과 보증금을 요구하는 행위,④ 그 밖에 정당한 사유 없이 임대인이 임차인이 주선한 신규임차인이 되려는 자와 임대차계약의 체결을 거절하는 행위.임대인이 방해금지의무를 위반하여 임차인에게 손해를 발생하게 한 때에는 그 손해를 배상할 책임이 있다. 이 경우 그 손해배상액은 신규임차인이 임차인에게 지급하기로 한 권리금과 임대차 종료 당시의 권리금 중 낮은 금액을 넘지 못한다. 근거법은 상가건물 임대차보호법이다."
알선,법률상으로는 당사자 간의 다툼 유무에 관계없이 교섭이나 상의가 원활이 되도록 제3자가 중간에 끼어서 주선을 하는 것을 말한다. 부동산에서는 부동산중개 활동 시 매매를 성사시키기 위하여 대상 부동산의 필요한 정보 및 조언을 해주는 행위를 말한다.
공동담보등기,"여러 개의 부동산권리를 목적으로 저당권 설정등기를 신청할 때 신청서에 그 여러 개의 부동산권리를 표시하여 등기하는 것을 말한다. 이 때 부동산이 5개 이상이면 신청서에 각 부동산의 권리 표시와 신청인이 기명날인한 공동담보목록을 첨부해야 한다. 공동담보목록은 등기부의 일부로 보고 그 기재는 등기로 본다. 추가로 공동담보등기를 할 때는 신청서에 종전의 등기를 표시하기에 충분한 사항을 적어야 한다.공동담보등기를 기재할 때 그 부동산의 등기용지 중 해당 구 사항란에 다른 부동산의 권리를 표시하고, 그 권리가 같이 담보의 목적이라는 뜻을 적어야 하며 추가공동담보등기를 기재할 때는 그 등기와 종전의 등기에 각 부동산의 권리가 같이 담보의 목적이라는 뜻을 적어야 한다. 공동담보 중 1개의 부동산 저당권의 등기를 말소할 때는 다른 부동산 권리에 그 사실을 부기하고, 소멸된 사항을 말소하는 표시를 하여야 한다.그 1개의 부동산 권리의 표시를 변경등기 한 경우도 마찬가지다. 근거법은 부동산등기법이다."
주위토지통행권,어느 토지와 공로사이에 그 토지의 용도에 필요한 통로가 없는 경우에 그 토지소유자가 주위의 토지를 통행 또는 통로로 할 수 있는 권리를 말한다. 그가 공로로 출입할 수 없거나 과다한 비용이 들 때에는 그 주위의 토지를 통행할 수 있고 필요한 경우에는 통로도 개설할 수 있는 권리이다.그러나 이로 인한 손해가 가장 적은 장소와 방법을 선택 하여야 하며 통행권자는 통행지 소유자의 손해를 보상해야 한다.
점유취득시효,"20년간 소유의 의사로 평온, 공연하게 부동산을 점유한 자는 등기함으로서 소유권을 취득 할 수 있다. 또한 부동산의 소유자로 등기한 자가 10년간 소유의 의사로 평온 공연하게 선의이며 과실 없이 그 부동산을 점유한 때에는 소유권을 취득할 수 있다. 민법에 규정해 놓았다."
전세금,"전세권을 설정할 때 전세권자(세입자)가 전세권설정자(세 주는 사람)에게 지급하는 금전을 전세금이라 한다. 보통 전세라 할 때는 주택의 임차를 지칭하는 말도 쓴다. 전세금액은 당사자 간에 합의로 자유로이 정하며 목적으로 하는 주택의 조세, 공과금 기타 부담의 증감이나 경제사정의 변동으로 상당하지 않게 된 때에 당사자는 장래 상황을 고려하여 그 증감을 청구할 수 있다.그러나 증액할 때는 약정한 전세금의 20분의 1을 초과하지 못하고, 전세권설정계약이 있은 날 또는 약정한 전세금의 증액이 있은 날로부터 1년 이내에는 할 수 없다.전세기간이 만료되어 이사 가려고 할 때, 전세금은 새 입주자가 들어올 때 돌려준다고 하는 경우, 가족의 일부가 주민등록과 입주를 유지하여 대항력과 우선변제권을 유지하거나, 미리 전세권을 등기하여 대항력과 우선변제권을 유지하는 것이 유리하다."
부본,"정본과 비슷한 내용이나 사항을 기재한 문서로서 정본을 참고하기 위한 예비나 사무처리를 위하여 만들어 놓은 장부나 도면을 말한다. 부본은 원본(정본)의 훼손 등에 대비하여 예비로 보관한다. 사본은 주로 원본의 증명용으로 한정된 효력이 있는데 반해, 부본은 정본이 멸실되었을 때 정본을 대체하는 효력이 있다. 토지대장부본, 지적도부본, 임야대장부본, 임야도부본이 있다."
민간건설 임대주택,"건설임대주택 중 공공건설임대주택을 제외한 임대주택으로서, 임대사업자가 임대를 목적으로 건설하여 임대하는 주택과 주택건설사업자가 사업계획승인을 받아 건설한 주택 중 사용검사 때까지 분양하지 않은 주택으로 임대사업자 등록을 하고 임대하는 주택을 말한다. 그 임대의무 기간은 공공지원민간임대주택과 장기일반민간임대주택은 8년이며, 단기민간임대주택은 4년 이상이다.임차인의 자격과 입주자 선정 방법은 해당 임대사업자가 정하는 바에 따르기 때문에, 민간건설임대주택에 입주하려는 사람은 해당 임대사업자가 공고하는 입주자모집공고의 내용을 잘 살펴볼 필요가 있다. 근거법규는 민간임대주택에 관한 특별법이다."
의제처리,"본질은 같지 않지만 법률상 동일한 것으로 간주하여 처리함으로써 동일한 효과를 주는 행위를 말한다. 의제처리는 개별 법률에 따라 각각 이행해야 하는 인 · 허가를 일괄하여 처리함으로써 행정 업무의 효율성을 높이고 대국민 서비스를 개선하고자 하는 제도다.예를 들면 주택법에 따라 사업승인 시건축법의 건축허가를 의제 받으려면 해당 서류를 함께 제출하여 관계기관의 장과 협의한 건축허가 사항은 건축허가를 받은 것으로 보며, 그 외 23가지 법률의 인 · 허가를 의제하여 주택건설의 편의를 제공하는 것이다. 관련부서의 협의를 편리하게 해주기 위해 이러한 것을 일괄협의(원스톱 서비스)해 주는 지방자치단체도 있다."
